ExpositionAreaName,ExpositionSectionName,Name,ObjectNumber,RoomNumber,AvailableForVisitors,LocationTypeCode,Note,District,Workplace,Department
Velemlokárium,Velemlokárium,želva dlaždicovitá,,,1,,,Velké želvy,Velké želvy,Chov 4
Velemlokárium,Velemlokárium,chřestýšovec mangšanský,,,1,,,Velké želvy,Velké želvy,Chov 4
Pavilon velkých želv,Pavilon velkých želv,želví školka,,,1,,malá expozice,Velké želvy,Velké želvy,Chov 4
Pavilon velkých želv,Pavilon velkých želv,varan Salvadoriův,,,1,,naproti velké expozice,Velké želvy,Velké želvy,Chov 4
Gobi,Gobi,ještěři,,,1,,,Velké želvy,Velké želvy,Chov 4
Gobi,Gobi,hroznýšek,,,1,,,Velké želvy,Velké želvy,Chov 4
Čambal,Čambal,vnitřní expozice Velké želvy,,,1,,,Velké želvy,Velké želvy,Chov 4
Čambal,Čambal,vnější bazén Velké želvy,,,1,,,Velké želvy,Velké želvy,Chov 4
Čambal,Čambal,vnější bazének Velké želvy,,,1,,návštěvnicky vpravo,Velké želvy,Velké želvy,Chov 4
Pavilon velkých želv,Pavilon velkých želv,velké želvy Lvinec a Tera,,,1,,velká expozice,Lvinec a Tera,Velké želvy,Chov 4
Pavilon velkých želv,Pavilon velkých želv,želvy - venkovní Lvinec a Tera,,,1,,,Lvinec a Tera,Velké želvy,Chov 4
Pavilon velkých želv,Pavilon velkých želv,velké želvy Velké želvy,,,1,,velká expozice,Velké želvy,Velké želvy,Chov 4
Pavilon velkých želv,Pavilon velkých želv,želvy - venkovní Velké želvy,,,1,,,Velké želvy,Velké želvy,Chov 4
Centrum Mefou,Centrum Mefou,Damani,,,1,,,Centrum Mefou,Primáti,Chov 5
Centrum Mefou,Centrum Mefou,Damani odstavný box,,,0,,,Centrum Mefou,Primáti,Chov 5
Centrum Mefou,Centrum Mefou,Mefou,,,1,,,Centrum Mefou,Primáti,Chov 5
Centrum Mefou,Centrum Mefou,Mefou odstavný box 1,,,0,,,Centrum Mefou,Primáti,Chov 5
Centrum Mefou,Centrum Mefou,Mefou odstavný box 2,,,0,,,Centrum Mefou,Primáti,Chov 5
Centrum Mefou,Centrum Mefou,Mefou odstavný box 3,,,0,,,Centrum Mefou,Primáti,Chov 5
Indonéská džungle,Indonéská džungle,Makaci vepří,,,1,,,Indonéská džungle (Primáti),Primáti,Chov 5
Indonéská džungle,Indonéská džungle,Makaci vepří zázemí,,,0,,,Indonéská džungle (Primáti),Primáti,Chov 5
Indonéská džungle,Indonéská džungle,Orangutani 1,,,1,,,Indonéská džungle (Primáti),Primáti,Chov 5
Indonéská džungle,Indonéská džungle,Orangutani 2,,,1,,,Indonéská džungle (Primáti),Primáti,Chov 5
Indonéská džungle,Indonéská džungle,Orangutani zázemí,,,0,,,Indonéská džungle (Primáti),Primáti,Chov 5
Indonéská džungle,Indonéská džungle,Vydry,,,1,,,Indonéská džungle (Primáti),Primáti,Chov 5
Indonéská džungle,Indonéská džungle,Vydry zázemí,,,0,,,Indonéská džungle (Primáti),Primáti,Chov 5
Mravenečníci a kapybary,Mravenečníci a kapybary,Kapybary zázemí 1,,,0,,,Opičí ostrovy,Primáti,Chov 5
Mravenečníci a kapybary,Vodní svět a opičí ostrovy (Mravenečníci a kapybary),Kapybary zázemí 2,,,0,,,Opičí ostrovy,Primáti,Chov 5
Mravenečníci a kapybary,Vodní svět a opičí ostrovy (Mravenečníci a kapybary),Kapybary zázemí 3,,,0,,,Opičí ostrovy,Primáti,Chov 5
Mravenečníci a kapybary,Vodní svět a opičí ostrovy (Mravenečníci a kapybary),Mravenečníci,,,1,,,Opičí ostrovy,Primáti,Chov 5
Mravenečníci a kapybary,Vodní svět a opičí ostrovy (Mravenečníci a kapybary),Mravenečníci a kapybary,,,1,,,Opičí ostrovy,Primáti,Chov 5
Mravenečníci a kapybary,Vodní svět a opičí ostrovy (Mravenečníci a kapybary),Mravenečníci odstavný výběh,,,0,,,Opičí ostrovy,Primáti,Chov 5
Ostrov Lemurů,Ostrov lemurů,Lemuři,,,1,,,Opičí ostrovy,Primáti,Chov 5
Ostrov Lemurů,Ostrov lemurů,Lemuři zázemí,,,0,,,Opičí ostrovy,Primáti,Chov 5
Rezervace Dja,Rezervace Dja,Angolky zázemí,,,0,,,Rezervace Dja,Primáti,Chov 5
Rezervace Dja,Rezervace Dja,Gorily a guerézy,,,1,,,Rezervace Dja,Primáti,Chov 5
Rezervace Dja,Rezervace Dja,Gorily zázemí,,,0,,,Rezervace Dja,Primáti,Chov 5
Rezervace Dja,Rezervace Dja,Guerézy zázemí,,,0,,,Rezervace Dja,Primáti,Chov 5
Rezervace Dja,Rezervace Dja,Kočkodani zázemí,,,0,,,Rezervace Dja,Primáti,Chov 5
Rezervace Dja,Rezervace Dja,Krysy a kaloni,,,1,,,Rezervace Dja,Primáti,Chov 5
Rezervace Dja,Rezervace Dja,Štětkouni,,,1,,,Rezervace Dja,Primáti,Chov 5
Rezervace Dja,Rezervace Dja,Štětkouni zázemí,,,0,,,Rezervace Dja,Primáti,Chov 5
Rezervace Dja,Rezervace Dja,Talapoini 1,,,1,,,Rezervace Dja,Primáti,Chov 5
Rezervace Dja,Rezervace Dja,Talapoini 2,,,1,,,Rezervace Dja,Primáti,Chov 5
Skalní masiv,Skalní masiv,Magoti,,,1,,,Opičí ostrovy,Primáti,Chov 5
Skalní masiv,Skalní masiv,Magoti odstavný box,,,0,,,Opičí ostrovy,Primáti,Chov 5
Variové,Vodní svět a opičí ostrovy (Variové),Variové,,,1,,,Opičí ostrovy,Primáti,Chov 5
Variové,Vodní svět a opičí ostrovy (Variové),Variové voliéra,,,0,,,Opičí ostrovy,Primáti,Chov 5
Vodní svět a opičí ostrovy,Vodní svět a opičí ostrovy,Giboni,,,1,,,Opičí ostrovy,Primáti,Chov 5
Vodní svět a opičí ostrovy,Vodní svět a opičí ostrovy,Malpy,,,1,,,Opičí ostrovy,Primáti,Chov 5
Vodní svět a opičí ostrovy,Vodní svět a opičí ostrovy,Malpy odstavný box,,,0,,,Opičí ostrovy,Primáti,Chov 5
Vodní svět a opičí ostrovy,Vodní svět a opičí ostrovy,Chápani,,,1,,,Opičí ostrovy,Primáti,Chov 5
Vodní svět a opičí ostrovy,Vodní svět a opičí ostrovy,Chápani odstavný box,,,0,,,Opičí ostrovy,Primáti,Chov 5
Vodní svět a opičí ostrovy,Vodní svět a opičí ostrovy,Chápani voliéra,,,1,,,Opičí ostrovy,Primáti,Chov 5
Vodní svět a opičí ostrovy,Vodní svět a opičí ostrovy,Kotulové,,,1,,,Opičí ostrovy,Primáti,Chov 5
Vodní svět a opičí ostrovy,Vodní svět a opičí ostrovy,Kotulové ubikace,,,0,,,Opičí ostrovy,Primáti,Chov 5
